initial_value	min_pos	min_value	max_pos_99.8	final_value	a	g	pEndemic
0.5969	9	0.2187	0	0.2187	0.28	20.0	0.2
0.7475	4	0.7019	9	0.9907	0.1	5.0	0.5
0.5004	5	0.4691	9	0.576	0.36	5.0	0.0
0.95	4	0.9253	9	0.9595	0.77	5.0	0.9
0.7456	7	0.6078	9	0.7758	0.1	10.0	0.5
0.7027	7	0.5141	0	0.5387	0.6	10.0	0.4
0.501	9	0.191	0	0.191	0.17	20.0	0.0
0.9541	8	0.7796	0	0.8128	0.28	20.0	0.9
0.749	9	0.394	0	0.394	0.77	15.0	0.5
0.5983	6	0.5338	0	0.5828	0.77	5.0	0.2
0.5035	9	0.3556	0	0.3556	0.46	10.0	0.0
0.5495	9	0.4086	0	0.4086	0.36	10.0	0.1
0.6482	9	0.2494	0	0.2494	0.36	20.0	0.3
0.5965	5	0.5352	9	0.6423	0.6	5.0	0.2
0.6011	9	0.2186	0	0.2186	0.46	20.0	0.2
0.8478	5	0.7999	9	0.9429	0.46	5.0	0.7
0.5985	8	0.4648	0	0.4871	0.17	10.0	0.2
0.4974	0	0.4974	9	0.6626	0.28	0.0	0.0
0.7487	8	0.4748	0	0.479	0.13	15.0	0.5
0.498	9	0.3748	0	0.3748	0.22	10.0	0.0
0.6044	9	0.2202	0	0.2202	0.22	20.0	0.2
0.6975	8	0.492	0	0.5143	0.77	10.0	0.4
0.55	9	0.2451	0	0.2451	0.46	15.0	0.1
0.6509	1	0.6469	9	0.7375	0.77	0.0	0.3
0.5	9	0.2174	0	0.2174	0.36	15.0	0.0
0.6495	1	0.6489	9	0.8223	0.6	0.0	0.3
0.8009	9	0.3627	0	0.3627	0.77	20.0	0.6
0.7991	0	0.7991	9	0.9657	0.46	0.0	0.6
0.5515	5	0.5114	9	0.739	0.28	5.0	0.1
0.6521	9	0.3463	0	0.3463	0.17	15.0	0.3
0.7022	7	0.5595	0	0.6682	0.13	10.0	0.4
0.5509	9	0.2521	0	0.2521	0.22	15.0	0.1
0.7995	9	0.4361	0	0.4361	0.13	20.0	0.6
0.6064	8	0.4691	0	0.4999	0.1	10.0	0.2
0.8463	4	0.7981	9	0.9623	0.36	5.0	0.7
0.6503	8	0.4587	0	0.4763	0.6	10.0	0.3
0.7485	9	0.3506	0	0.3506	0.28	20.0	0.5
0.6002	5	0.5675	9	0.9438	0.1	5.0	0.2
0.9469	8	0.8244	0	0.8478	0.77	15.0	0.9
0.8498	7	0.7169	9	0.8731	0.28	10.0	0.7
0.5489	9	0.1905	0	0.1905	0.6	20.0	0.1
0.5006	9	0.1936	0	0.1936	0.1	20.0	0.0
0.6026	1	0.5951	9	0.9929	0.13	0.0	0.2
0.9496	7	0.8532	0	0.935	0.13	15.0	0.9
0.6475	4	0.6085	9	0.9356	0.17	5.0	0.3
0.8495	0	0.8495	9	0.9989	0.22	0.0	0.7
0.6576	9	0.3473	0	0.3473	0.1	15.0	0.3
0.8001	0	0.8001	9	0.9827	0.36	0.0	0.6
0.6011	9	0.279	0	0.279	0.6	15.0	0.2
0.6556	1	0.6497	9	0.9988	0.1	0.0	0.3
0.9003	7	0.7896	0	0.8301	0.77	10.0	0.8
0.8022	8	0.5295	0	0.5392	0.28	15.0	0.6
0.6511	4	0.6106	9	0.9588	0.13	5.0	0.3
0.896	6	0.808	9	0.965	0.13	10.0	0.8
0.598	1	0.5971	9	0.9824	0.17	0.0	0.2
0.8045	4	0.7413	9	0.9781	0.22	5.0	0.6
0.8468	4	0.803	9	0.9867	0.22	5.0	0.7
0.654	1	0.6535	9	0.994	0.17	0.0	0.3
0.6023	5	0.5624	9	0.9246	0.13	5.0	0.2
0.9496	6	0.895	9	0.9893	0.13	10.0	0.9
0.8513	8	0.6041	0	0.6556	0.28	15.0	0.7
0.6049	0	0.6049	9	0.9966	0.1	0.0	0.2
0.9514	7	0.8854	0	0.9136	0.77	10.0	0.9
0.6017	9	0.2958	0	0.2958	0.1	15.0	0.2
0.8482	1	0.8463	9	0.9904	0.36	0.0	0.7
0.6552	9	0.3172	0	0.3172	0.6	15.0	0.3
