max_left_position,max_left_value,max_right_position,max_right_value,min_position,min_value,ratio_of_peaks,euclidean_distance,a,g,pEndemic
0,0.64,9,0.3658,5,0.2054,1.7496,7.3994,0.36,0.0,0.1
6,0.9941,0,0.0,9,0.8102,0.0,0.0,0.1,15.0,0.4
0,0.23,9,0.2044,5,0.1941,1.1252,7.241,0.77,0.0,0.8
5,0.8803,0,0.0,9,0.3278,0.0,0.0,0.6,15.0,0.5
0,0.78,9,0.2089,8,0.1582,3.7338,7.4357,0.22,0.0,0.0
7,0.8442,0,0.0,9,0.7176,0.0,0.0,0.22,20.0,0.9
0,0.9258,9,0.7633,6,0.5659,1.2129,3.2868,0.17,5.0,0.4
0,0.87,9,0.8658,2,0.6688,1.0049,4.4536,0.13,0.0,0.5
6,0.9194,0,0.0,9,0.4815,0.0,0.0,0.6,20.0,0.6
7,0.8384,0,0.0,9,0.5376,0.0,0.0,0.36,20.0,0.8
7,0.6721,0,0.0,9,0.4807,0.0,0.0,0.46,20.0,0.9
1,0.4538,9,0.3781,6,0.3627,1.2002,4.2875,0.6,5.0,0.9
7,0.9764,0,0.0,9,0.803,0.0,0.0,0.1,20.0,0.7
3,0.9905,0,0.0,9,0.6083,0.0,0.0,0.28,10.0,0.0
4,0.8549,9,0.81,8,0.7845,1.0554,2.2287,0.17,10.0,0.9
0,0.9405,5,1.0,0,0.9405,0.9405,8.8547,0.28,20.0,0.2
2,0.949,9,0.8796,6,0.7052,1.0789,2.892,0.1,5.0,0.5
0,0.9617,0,0.0,9,0.13,0.0,0.0,0.36,5.0,0.0
1,0.2929,9,0.2126,7,0.2062,1.3777,4.687,0.77,5.0,0.9
5,0.9637,0,0.0,9,0.7138,0.0,0.0,0.1,10.0,0.5
4,0.8036,0,0.0,9,0.151,0.0,0.0,0.6,10.0,0.4
5,1.0,0,0.0,9,0.9949,0.0,0.0,0.17,20.0,0.0
7,0.7995,0,0.0,9,0.6548,0.0,0.0,0.28,20.0,0.9
6,0.8126,0,0.0,9,0.2153,0.0,0.0,0.77,15.0,0.5
0,0.711,9,0.0622,8,0.0591,11.4309,4.5944,0.77,5.0,0.2
2,0.976,0,0.0,9,0.4182,0.0,0.0,0.46,10.0,0.0
4,0.9704,0,0.0,9,0.4142,0.0,0.0,0.36,10.0,0.1
0,0.8863,6,0.9994,0,0.8863,0.8868,8.6549,0.36,20.0,0.3
0,0.8032,9,0.1403,8,0.1264,5.7249,4.1433,0.6,5.0,0.2
