parameters	max_left_position	max_left_value	max_right_position	max_right_value	min_position	min_value	ratio_of_peaks	euclidean_distance	a	g	pEndemic
0.13_5.00_0.50	0	0.93155	35	0.8661	10	0.5856	1.0756	12.4949	0.13	5.0	0.5
0.13_10.00_0.50	5	0.9336	35	0.86625	14	0.57175	1.0777	10.861	0.13	10.0	0.5
0.13_15.00_0.50	8	0.93705	37	0.8663	18	0.5666	1.0817	9.9417	0.13	15.0	0.5
0.13_20.00_0.50	14	0.9407	37	0.86615	22	0.55725	1.0861	8.8144	0.13	20.0	0.5
0.13_0.00_0.60	0	0.87	33	0.8667	4	0.65595	1.0038	12.1148	0.13	0.0	0.6
0.13_5.00_0.60	1	0.9195	36	0.8667	9	0.6455	1.0609	10.9565	0.13	5.0	0.6
0.13_10.00_0.60	2	0.92185	36	0.86675	13	0.63665	1.0636	9.9961	0.13	10.0	0.6
0.13_15.00_0.60	9	0.926	35	0.86665	18	0.63035	1.0685	9.0134	0.13	15.0	0.6
0.13_20.00_0.60	13	0.92835	38	0.86645	22	0.61925	1.0714	8.2525	0.13	20.0	0.6
0.13_0.00_0.70	0	0.87	30	0.86745	4	0.709	1.0029	10.4307	0.13	0.0	0.7
0.13_5.00_0.70	1	0.9067	32	0.86765	9	0.70445	1.045	10.0981	0.13	5.0	0.7
0.13_10.00_0.70	3	0.9091	34	0.86725	13	0.699	1.0483	9.2926	0.13	10.0	0.7
0.13_15.00_0.70	8	0.9116	36	0.86725	17	0.6922	1.0511	8.518	0.13	15.0	0.7
0.13_20.00_0.70	12	0.91535	37	0.8671	21	0.6823	1.0556	7.7258	0.13	20.0	0.7
0.13_0.00_0.80	0	0.87	31	0.8677	4	0.7681	1.0027	10.5221	0.13	0.0	0.8
0.13_5.00_0.80	0	0.895	31	0.868	9	0.76205	1.0311	8.9373	0.13	5.0	0.8
0.13_10.00_0.80	4	0.89655	32	0.8678	12	0.75535	1.0331	8.5885	0.13	10.0	0.8
0.13_15.00_0.80	9	0.89985	35	0.8677	16	0.75115	1.0371	8.2783	0.13	15.0	0.8
0.13_20.00_0.80	11	0.9018	34	0.86725	20	0.7497	1.0398	7.5279	0.13	20.0	0.8
0.13_0.00_0.90	0	0.87	28	0.8681	4	0.8213	1.0022	9.5379	0.13	0.0	0.9
0.13_5.00_0.90	1	0.883	29	0.86825	7	0.8154	1.017	8.1646	0.13	5.0	0.9
0.13_10.00_0.90	4	0.8834	33	0.8682	12	0.8133	1.0175	7.9486	0.13	10.0	0.9
0.13_15.00_0.90	9	0.8851	34	0.8681	16	0.80825	1.0196	7.056	0.13	15.0	0.9
0.13_20.00_0.90	12	0.8867	34	0.86805	19	0.8087	1.0215	7.0504	0.13	20.0	0.9
0.17_0.00_0.00	0	0.83	39	0.1653	30	0.05275	5.0212	36.69	0.17	0.0	0.0
0.17_5.00_0.00	0	0.98755	39	0.16935	29	0.05755	5.8314	32.2371	0.17	5.0	0.0
0.17_10.00_0.00	0	0.9931	39	0.16955	34	0.0661	5.8573	27.317	0.17	10.0	0.0
0.17_15.00_0.00	0	0.99575	39	0.1818	34	0.0748	5.4772	22.3353	0.17	15.0	0.0
0.17_20.00_0.00	1	0.9967	39	0.18205	34	0.0912	5.4749	17.4362	0.17	20.0	0.0
0.17_0.00_0.10	0	0.83	39	0.8141	11	0.19875	1.0195	29.415	0.17	0.0	0.1
0.17_5.00_0.10	0	0.97285	39	0.81305	17	0.20095	1.1965	26.119	0.17	5.0	0.1
0.17_10.00_0.10	0	0.9767	39	0.81185	21	0.206	1.2031	22.6638	0.17	10.0	0.1
0.17_15.00_0.10	2	0.9797	39	0.806	24	0.20865	1.2155	19.1075	0.17	15.0	0.1
0.17_20.00_0.10	7	0.98095	39	0.7822	27	0.21765	1.2541	15.4556	0.17	20.0	0.1
0.17_0.00_0.20	0	0.83	38	0.8193	10	0.30365	1.0131	23.7478	0.17	0.0	0.2
0.17_5.00_0.20	0	0.9558	39	0.8192	12	0.3065	1.1667	21.506	0.17	5.0	0.2
0.17_10.00_0.20	0	0.96125	39	0.81995	18	0.3038	1.1723	18.944	0.17	10.0	0.2
0.17_15.00_0.20	4	0.9633	39	0.82015	23	0.29965	1.1745	16.147	0.17	15.0	0.2
0.17_20.00_0.20	9	0.96555	39	0.81735	26	0.3034	1.1813	13.5906	0.17	20.0	0.2
0.17_0.00_0.30	0	0.83	37	0.8224	8	0.39205	1.0092	20.3146	0.17	0.0	0.3
0.17_5.00_0.30	0	0.9402	38	0.8224	13	0.39065	1.1432	18.2602	0.17	5.0	0.3
0.17_10.00_0.30	1	0.9453	38	0.8224	17	0.3848	1.1494	16.1125	0.17	10.0	0.3
0.17_15.00_0.30	6	0.94795	39	0.8228	20	0.38	1.1521	14.2511	0.17	15.0	0.3
0.17_20.00_0.30	11	0.95115	39	0.82205	24	0.37175	1.157	12.2564	0.17	20.0	0.3
0.17_0.00_0.40	0	0.83	36	0.82355	8	0.4738	1.0078	17.6618	0.17	0.0	0.4
0.17_5.00_0.40	1	0.9245	36	0.8241	10	0.4676	1.1218	16.1451	0.17	5.0	0.4
0.17_10.00_0.40	3	0.9298	38	0.8242	15	0.4557	1.1281	14.2137	0.17	10.0	0.4
0.17_15.00_0.40	5	0.93285	39	0.8236	19	0.44715	1.1326	12.69	0.17	15.0	0.4
0.17_20.00_0.40	12	0.9361	39	0.8238	23	0.43915	1.1363	10.9948	0.17	20.0	0.4
