age_last_spacer	a	pEndemic	g
191.562	0.17	0.7	10.0
233.917	0.28	0.5	0.0
116.351	0.13	0.0	15.0
208.786	0.22	0.5	10.0
168.904	0.22	0.7	20.0
140.072	0.77	0.1	10.0
170.729	0.36	0.5	15.0
156.715	0.46	0.4	15.0
174.571	0.77	0.6	0.0
183.526	0.6	0.6	0.0
215.158	0.46	0.3	0.0
230.562	0.28	0.4	5.0
188.615	0.17	0.6	15.0
119.783	0.77	0.3	20.0
358.387	0.13	0.1	10.0
196.265	0.22	0.4	15.0
202.406	0.13	0.3	20.0
164.511	0.6	0.6	10.0
175.832	0.36	0.8	10.0
170.415	0.46	0.9	10.0
196.726	0.1	0.7	10.0
220.901	0.36	0.2	5.0
88.8912	0.28	0.0	20.0
167.928	0.17	0.9	20.0
206.278	0.1	0.7	5.0
177.785	0.28	0.9	0.0
218.807	0.28	0.2	10.0
190.372	0.1	0.5	20.0
129.017	0.6	0.4	20.0
173.771	0.22	0.9	10.0
213.572	0.13	0.7	0.0
217.351	0.17	0.6	5.0
332.227	0.22	0.2	0.0
169.879	0.36	0.9	15.0
157.928	0.6	0.7	15.0
197.439	0.1	0.6	15.0
165.655	0.46	0.8	15.0
243.562	0.36	0.3	0.0
241.728	0.1	0.6	0.0
184.519	0.28	0.8	5.0
185.672	0.28	0.3	15.0
174.552	0.22	0.8	15.0
222.649	0.13	0.6	5.0
211.774	0.17	0.7	0.0
267.433	0.22	0.3	5.0
